,Ward,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,District,PopPlusDistrict,Wardcode,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,Crimerate,Openspace,Districtcode
117,Royal Docks,Newham - Royal Docks,10679.0,63.9,80.6,83.1,21.0693885195243,4.0,54.1,48.3,18.1,Newham,"10679, Newham",00BBGT,30.8,5.6,14.1,0.7,91.6,57.8,00BB
118,Hatch End,Harrow - Hatch End,10693.0,55.3,82.0,84.3,18.685121107266397,19.8,43.3,33.0,9.1,Harrow,"10693, Harrow",00AQGE,8.5,2.4,15.4,1.4,50.8,31.1,00AQ
119,Colliers Wood,Merton - Colliers Wood,10712.0,62.9,77.6,83.3,14.189693801344301,8.1,40.1,47.2,16.3,Merton,"10712, Merton",00BAFZ,12.6,3.5,13.3,0.7,92.8,14.5,00BA
120,Stonecot,Sutton - Stonecot,10712.0,45.6,78.7,85.2,20.5843913368185,14.5,20.9,18.1,5.2,Sutton,"10712, Sutton",00BFGL,3.7,2.8,20.5,1.4,52.6,21.5,00BF
121,Thames,Barking and Dagenham - Thames,10728.0,115.1,79.2,84.2,30.275913497390004,6.9,54.9,37.2,11.2,Barking and Dagenham,"10728, Barking and Dagenham",00ABGL,44.4,9.2,24.1,0.7,143.8,44.4,00AB
122,Endlebury,Waltham Forest - Endlebury,10730.0,54.9,80.4,84.4,18.611369990680302,16.9,22.4,17.5,3.8,Waltham Forest,"10730, Waltham Forest",00BHGB,14.7,4.8,23.5,1.3,55.0,18.5,00BH
123,Muswell Hill,Haringey - Muswell Hill,10784.0,56.3,77.4,81.5,17.8783382789318,12.1,16.2,26.1,7.0,Haringey,"10784, Haringey",00APGJ,9.4,3.0,8.3,0.9,81.0,31.2,00AP
124,Ravenscourt Park,Hammersmith and Fulham - Ravenscourt Park,10785.0,47.0,78.3,86.2,17.6263328697265,11.4,26.7,37.3,11.6,Hammersmith and Fulham,"10785, Hammersmith and Fulham",00ANGM,23.2,3.4,9.9,0.6,107.6,16.3,00AN
125,Heath,Barking and Dagenham - Heath,10786.0,83.4,75.1,79.3,26.274800667532002,12.7,32.3,24.1,6.2,Barking and Dagenham,"10786, Barking and Dagenham",00ABGF,45.3,12.2,32.1,0.7,109.4,38.4,00AB
126,Village,Barking and Dagenham - Village,10787.0,99.1,76.0,80.9,24.9559655140447,11.3,34.8,26.0,7.5,Barking and Dagenham,"10787, Barking and Dagenham",00ABGN,39.9,11.9,30.3,0.8,102.3,48.0,00AB
127,Falconwood and Welling,Bexley - Falconwood and Welling,10800.0,58.1,78.2,82.8,19.111111111111104,15.7,15.4,12.4,2.6,Bexley,"10800, Bexley",00ADGN,1.1,2.9,22.1,1.3,44.2,0.7,00AD
128,New Addington,Croydon - New Addington,10801.0,72.7,74.4,80.5,25.803166373483897,12.7,23.7,13.9,3.0,Croydon,"10801, Croydon",00AHGR,42.2,7.9,34.8,1.0,87.4,31.2,00AH
129,Parsons Green and Walham,Hammersmith and Fulham - Parsons Green and Walham,10813.0,61.6,80.3,84.6,18.0430962730047,10.2,17.8,38.2,10.8,Hammersmith and Fulham,"10813, Hammersmith and Fulham",00ANGL,20.6,3.0,9.5,0.8,124.0,9.8,00AN
130,South Richmond,Richmond upon Thames - South Richmond,10820.0,55.2,78.7,83.6,16.5526802218115,14.0,13.1,33.0,8.5,Richmond upon Thames,"10820, Richmond upon Thames",00BDGJ,13.9,2.0,7.1,0.9,123.3,47.3,00BD
131,St. James's,Westminster - St. James's,10828.0,37.2,80.4,86.4,8.7827853712597,11.0,28.8,49.0,20.0,Westminster,"10828, Westminster",00BKGQ,28.0,6.1,10.7,0.4,1658.0,30.7,00BK
132,Sidcup,Bexley - Sidcup,10844.0,43.7,76.4,78.8,15.815197344153399,20.0,10.1,10.6,2.2,Bexley,"10844, Bexley",00ADGW,6.7,2.0,19.1,1.2,53.1,25.8,00AD
133,East Wickham,Bexley - East Wickham,10858.0,71.2,79.0,84.0,18.916927610978103,18.0,16.9,13.4,3.2,Bexley,"10858, Bexley",00ADGL,12.6,4.6,26.4,1.2,45.3,26.5,00AD
134,Danson Park,Bexley - Danson Park,10864.0,53.6,79.8,84.3,18.501472754050102,17.5,16.2,13.2,3.1,Bexley,"10864, Bexley",00ADGK,8.9,3.3,23.0,1.2,59.1,36.3,00AD
135,Bloomsbury,Camden - Bloomsbury,10892.0,22.1,77.2,81.6,7.133676092544991,10.0,40.4,51.2,19.5,Camden,"10892, Camden",00AGGE,28.6,4.2,7.8,0.2,438.7,9.2,00AG
136,Blendon and Penhill,Bexley - Blendon and Penhill,10910.0,59.0,82.4,85.3,19.5325389550871,17.9,9.5,7.8,1.7,Bexley,"10910, Bexley",00ADGD,2.6,2.4,21.5,1.4,36.6,13.9,00AD
137,Mortlake and Barnes Common,Richmond upon Thames - Mortlake and Barnes Common,10919.0,96.8,77.8,85.5,19.791189669383602,12.0,11.7,25.6,5.2,Richmond upon Thames,"10919, Richmond upon Thames",00BDGF,16.0,2.3,9.8,0.9,60.3,41.7,00BD
138,River,Barking and Dagenham - River,10923.0,80.4,73.2,77.9,26.8515975464616,10.1,38.4,30.9,9.6,Barking and Dagenham,"10923, Barking and Dagenham",00ABGK,25.7,8.6,29.9,0.8,92.8,20.8,00AB
139,Grove,Kingston upon Thames - Grove,10955.0,52.9,77.7,88.8,12.8617069831127,9.4,23.2,31.4,11.2,Kingston upon Thames,"10955, Kingston upon Thames",00AXGF,13.2,2.2,8.5,0.8,366.4,23.6,00AX
140,Highgate,Camden - Highgate,10955.0,45.9,82.3,84.1,17.8183477863989,15.2,20.2,27.1,5.5,Camden,"10955, Camden",00AGGN,34.1,5.2,12.6,0.7,92.1,65.2,00AG
141,Christchurch,Bexley - Christchurch,10965.0,61.9,77.8,80.9,18.1030551755586,18.3,13.4,11.5,2.3,Bexley,"10965, Bexley",00ADGF,3.9,3.3,21.0,1.2,110.8,17.3,00AD
142,Sutton Central,Sutton - Sutton Central,10993.0,78.5,75.7,80.3,18.7573910670427,11.5,24.1,26.9,99.7,Sutton,"10993, Sutton",00BFGM,22.7,5.6,18.6,0.8,179.9,12.9,00BF
143,Fulham Broadway,Hammersmith and Fulham - Fulham Broadway,10996.0,50.4,76.2,79.4,13.5049108766824,10.3,29.9,43.9,15.6,Hammersmith and Fulham,"10996, Hammersmith and Fulham",00ANGE,36.2,4.6,14.8,0.5,111.6,3.1,00AN
144,Munster,Hammersmith and Fulham - Munster,11004.0,54.5,85.3,84.5,15.0672482733551,8.4,19.3,38.3,10.7,Hammersmith and Fulham,"11004, Hammersmith and Fulham",00ANGH,18.1,2.8,9.7,0.7,75.5,8.5,00AN
145,Hatch Lane,Waltham Forest - Hatch Lane,11058.0,73.8,78.6,82.9,20.2930005425936,16.1,22.2,16.5,4.4,Waltham Forest,"11058, Waltham Forest",00BHGF,24.7,7.0,26.2,1.1,77.2,37.7,00BH
146,Brownswood,Hackney - Brownswood,11091.0,41.0,77.9,83.9,14.435127580921499,6.2,38.2,42.7,18.6,Hackney,"11091, Hackney",00AMGA,32.0,6.0,14.1,0.4,79.1,28.2,00AM
147,King's Park,Hackney - King's Park,11098.0,66.2,77.2,85.7,25.5541539016039,9.2,62.0,43.3,13.4,Hackney,"11098, Hackney",00AMGL,57.9,13.6,24.6,0.5,61.9,67.7,00AM
148,Rayners Lane,Harrow - Rayners Lane,11124.0,64.9,82.1,85.0,20.631067961164998,13.9,65.5,48.0,17.6,Harrow,"11124, Harrow",00AQGP,2.2,3.2,13.7,1.3,44.4,10.7,00AQ
149,Colyers,Bexley - Colyers,11128.0,85.7,78.2,80.2,22.1872753414809,14.5,17.7,12.3,2.0,Bexley,"11128, Bexley",00ADGG,29.4,6.7,25.1,1.1,44.6,13.1,00AD
150,St. Michael's,Bexley - St. Michael's,11135.0,56.4,83.2,88.4,22.1463852716659,13.7,17.3,11.6,2.4,Bexley,"11135, Bexley",00ADGU,7.0,3.7,21.8,1.4,30.0,5.9,00AD
151,Headstone South,Harrow - Headstone South,11135.0,73.0,80.0,89.5,20.3682083520431,12.0,56.5,44.2,15.9,Harrow,"11135, Harrow",00AQGG,7.2,3.7,13.1,1.1,40.5,14.4,00AQ
152,Kenton East,Harrow - Kenton East,11138.0,60.4,78.2,85.9,18.737654875202,12.4,73.4,57.1,24.7,Harrow,"11138, Harrow",00AQGH,14.8,3.7,23.4,1.2,45.6,7.2,00AQ
153,St. Margarets and North Twickenham,Richmond upon Thames - St. Margarets and North Twickenham,11172.0,61.7,84.1,94.5,21.8403150733978,9.5,12.3,23.3,4.8,Richmond upon Thames,"11172, Richmond upon Thames",00BDGH,4.0,1.6,6.6,1.1,55.1,23.5,00BD
154,Kenton West,Harrow - Kenton West,11173.0,64.8,82.0,86.6,17.9092455025508,14.3,72.6,51.3,20.4,Harrow,"11173, Harrow",00AQGJ,3.0,3.0,17.9,1.4,57.1,17.9,00AQ
155,Wimbledon Park,Merton - Wimbledon Park,11197.0,81.1,84.7,86.1,21.2021077074216,8.2,20.4,32.9,8.4,Merton,"11197, Merton",00BAGS,8.3,2.0,7.8,1.0,54.6,28.5,00BA
156,Town,Hammersmith and Fulham - Town,11201.0,47.3,78.8,81.1,16.6502990804392,7.2,22.7,40.5,11.9,Hammersmith and Fulham,"11201, Hammersmith and Fulham",00ANGQ,23.7,3.6,9.4,0.6,117.7,0.0,00AN
157,Cray Meadows,Bexley - Cray Meadows,11207.0,61.7,76.9,79.5,20.5139644864817,17.6,11.0,9.9,2.3,Bexley,"11207, Bexley",00ADGJ,22.8,4.1,25.1,1.2,46.2,61.6,00AD
158,Crayford,Bexley - Crayford,11226.0,64.2,77.4,87.5,21.6907179761268,14.6,11.7,10.0,1.9,Bexley,"11226, Bexley",00ADGH,21.8,4.7,25.3,1.1,61.3,42.7,00AD
159,Stanmore Park,Harrow - Stanmore Park,11229.0,67.4,80.2,81.1,17.3479383738534,22.4,43.3,34.5,8.8,Harrow,"11229, Harrow",00AQGS,15.0,3.2,19.7,1.4,62.5,45.8,00AQ
160,Figge's Marsh,Merton - Figge's Marsh,11240.0,114.6,75.9,80.2,23.113879003558697,9.3,57.4,44.9,16.3,Merton,"11240, Merton",00BAGC,27.3,9.1,21.0,0.8,99.0,23.0,00BA
161,Abbey Road,Westminster - Abbey Road,11250.0,68.5,81.5,85.1,17.4577777777778,14.0,35.4,56.9,20.4,Westminster,"11250, Westminster",00BKGA,9.1,2.4,10.0,0.7,56.8,7.2,00BK
162,Gospel Oak,Camden - Gospel Oak,11264.0,53.7,74.9,82.5,19.602272727272698,12.2,30.1,34.9,10.4,Camden,"11264, Camden",00AGGK,45.9,6.3,17.8,0.5,79.1,15.9,00AG
163,Goresbrook,Barking and Dagenham - Goresbrook,11267.0,97.4,79.3,81.4,26.5643028312772,10.0,33.3,26.8,7.7,Barking and Dagenham,"11267, Barking and Dagenham",00ABGE,37.3,9.6,30.0,0.8,82.9,17.1,00AB
164,Hampstead Town,Camden - Hampstead Town,11270.0,57.5,82.7,86.6,17.4977817213842,15.9,20.0,40.9,10.4,Camden,"11270, Camden",00AGGL,13.4,1.6,6.1,0.7,111.0,54.2,00AG
165,Fulham Reach,Hammersmith and Fulham - Fulham Reach,11306.0,40.9,82.0,92.7,12.603927118344199,8.5,30.5,43.6,14.0,Hammersmith and Fulham,"11306, Hammersmith and Fulham",00ANGF,31.9,3.8,11.7,0.5,98.4,20.9,00AN
166,Larkswood,Waltham Forest - Larkswood,11337.0,71.4,77.5,83.6,19.978830378407,15.3,31.2,21.8,6.3,Waltham Forest,"11337, Waltham Forest",00BHGK,17.4,6.6,26.2,1.1,85.8,31.4,00BH
167,Belmont,Harrow - Belmont,11343.0,81.1,82.1,85.5,21.246583796173898,13.0,58.7,41.6,13.2,Harrow,"11343, Harrow",00AQFY,3.7,2.8,15.1,1.5,56.1,11.0,00AQ
168,Chiswick Homefields,Hounslow - Chiswick Homefields,11346.0,52.3,78.7,83.6,18.3324519654504,11.3,18.8,34.0,9.8,Hounslow,"11346, Hounslow",00ATGA,16.4,2.3,9.3,0.9,103.6,42.2,00AT
169,Lesnes Abbey,Bexley - Lesnes Abbey,11346.0,75.5,79.6,84.3,20.9236735413362,15.6,31.0,23.3,5.0,Bexley,"11346, Bexley",00ADGP,21.0,5.3,23.8,1.1,57.2,36.9,00AD
170,Hale End and Highams Park,Waltham Forest - Hale End and Highams Park,11355.0,75.5,80.2,84.3,22.7300748568912,11.4,33.1,21.8,5.9,Waltham Forest,"11355, Waltham Forest",00BHGE,18.8,6.8,20.0,1.1,74.8,41.4,00BH
171,Harrow Weald,Harrow - Harrow Weald,11376.0,65.1,80.6,85.7,19.743319268635698,17.1,48.3,36.7,10.5,Harrow,"11376, Harrow",00AQGD,15.9,4.7,19.4,1.3,65.5,56.3,00AQ
172,Wealdstone,Harrow - Wealdstone,11394.0,94.0,75.5,81.4,23.424609443566798,11.0,62.6,46.9,18.3,Harrow,"11394, Harrow",00AQGT,15.1,6.4,20.9,1.0,85.8,3.4,00AQ
173,Hanworth Park,Hounslow - Hanworth Park,11408.0,72.7,77.7,82.4,20.468092566619898,12.0,30.8,28.5,10.9,Hounslow,"11408, Hounslow",00ATGG,21.3,3.8,23.4,1.1,99.1,41.4,00AT
174,Hounslow South,Hounslow - Hounslow South,11409.0,60.7,83.6,88.7,19.3110098176718,12.5,45.1,38.7,13.2,Hounslow,"11409, Hounslow",00ATGN,5.1,2.9,15.7,1.3,54.8,17.9,00AT
175,Kew,Richmond upon Thames - Kew,11436.0,66.7,79.0,88.4,20.1556488282616,13.9,15.3,30.2,7.6,Richmond upon Thames,"11436, Richmond upon Thames",00BDGE,9.9,1.7,7.5,1.0,61.6,56.6,00BD
176,Manor,Hillingdon - Manor,11442.0,53.6,80.0,83.1,20.241216570529602,15.7,16.0,16.2,3.6,Hillingdon,"11442, Hillingdon",00ASGS,4.1,2.0,17.0,1.3,56.0,18.0,00AS
177,Valley,Waltham Forest - Valley,11444.0,75.2,77.5,80.9,21.1464522894093,13.4,38.4,25.6,7.9,Waltham Forest,"11444, Waltham Forest",00BHGQ,17.9,8.1,26.1,1.1,145.1,17.6,00BH
178,Turnham Green,Hounslow - Turnham Green,11448.0,52.2,77.9,83.8,14.9807826694619,12.9,23.2,39.9,12.8,Hounslow,"11448, Hounslow",00ATGT,14.7,2.7,9.9,0.8,117.8,7.4,00AT
179,Cricket Green,Merton - Cricket Green,11474.0,120.0,78.5,87.0,23.3135785253617,10.8,47.5,39.5,14.5,Merton,"11474, Merton",00BAGA,36.9,10.1,24.5,0.7,93.2,50.0,00BA
180,Longbridge,Barking and Dagenham - Longbridge,11478.0,98.4,76.5,82.4,22.9656734622757,11.6,57.4,33.3,11.9,Barking and Dagenham,"11478, Barking and Dagenham",00ABGG,13.1,5.6,22.7,1.1,91.9,30.3,00AB
181,Fieldway,Croydon - Fieldway,11479.0,78.1,75.4,78.6,31.1089816186079,10.1,34.4,19.3,4.1,Croydon,"11479, Croydon",00AHGN,60.6,11.0,34.4,0.8,64.7,22.8,00AH
182,Clerkenwell,Islington - Clerkenwell,11490.0,29.2,77.6,84.9,12.236727589208,8.2,29.3,38.5,12.6,Islington,"11490, Islington",00AUGB,42.3,5.6,15.1,0.4,195.4,9.3,00AU
183,Church End,Redbridge - Church End,11516.0,67.5,81.4,84.6,18.2354984369573,11.9,26.5,22.1,5.8,Redbridge,"11516, Redbridge",00BCGC,8.2,3.7,12.3,1.1,89.3,3.3,00BC
184,Addison,Hammersmith and Fulham - Addison,11518.0,49.4,78.8,88.6,14.5598194130926,7.2,27.9,44.1,15.8,Hammersmith and Fulham,"11518, Hammersmith and Fulham",00ANGA,24.9,4.5,9.3,0.5,114.0,0.3,00AN
185,Chiswick Riverside,Hounslow - Chiswick Riverside,11543.0,76.7,85.4,82.2,18.7559559906437,11.8,19.1,30.3,8.9,Hounslow,"11543, Hounslow",00ATGB,18.5,2.9,9.2,1.0,72.1,35.2,00AT
186,Wanstead,Redbridge - Wanstead,11543.0,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7,Redbridge,"11543, Redbridge",00BCGU,14.3,3.0,15.2,1.1,85.9,64.2,00BC
187,Becontree,Barking and Dagenham - Becontree,11545.0,67.4,75.3,81.0,25.4395842355998,9.5,41.2,30.1,10.5,Barking and Dagenham,"11545, Barking and Dagenham",00ABFZ,29.4,10.2,28.0,0.9,91.7,3.0,00AB
188,St. Mary's,Islington - St. Mary's,11553.0,47.0,73.6,82.4,13.6674456851034,9.6,25.3,33.1,10.0,Islington,"11553, Islington",00AUGL,41.5,5.1,15.5,0.4,253.8,9.6,00AU
189,East Walworth,Southwark - East Walworth,11557.0,58.2,74.5,81.9,18.499610625594897,8.3,51.8,43.8,13.7,Southwark,"11557, Southwark",00BEGJ,53.9,7.4,20.8,0.4,166.9,24.1,00BE
190,Feltham North,Hounslow - Feltham North,11563.0,84.3,73.5,77.3,19.9688662111909,13.6,38.9,35.7,14.1,Hounslow,"11563, Hounslow",00ATGD,22.3,4.6,26.1,1.1,110.8,36.4,00AT
191,North End,Bexley - North End,11566.0,89.6,74.0,79.0,26.8026975618191,10.6,27.0,18.8,3.3,Bexley,"11566, Bexley",00ADGR,37.4,8.9,28.8,0.9,89.9,65.3,00AD
192,Northwood Hills,Hillingdon - Northwood Hills,11578.0,76.7,78.9,86.0,18.863361547763,17.5,33.3,27.9,7.1,Hillingdon,"11578, Hillingdon",00ASGU,15.5,2.6,16.6,1.3,59.7,33.3,00AS
193,North End,Hammersmith and Fulham - North End,11589.0,42.3,79.1,89.8,12.5722668047286,6.6,34.2,47.9,19.4,Hammersmith and Fulham,"11589, Hammersmith and Fulham",00ANGJ,28.6,4.7,11.2,0.4,97.7,10.6,00AN
194,Eastbury,Barking and Dagenham - Eastbury,11624.0,90.9,79.9,85.2,26.9184445973847,9.5,41.7,32.2,11.9,Barking and Dagenham,"11624, Barking and Dagenham",00ABGC,37.4,10.2,28.9,0.8,87.6,18.1,00AB
195,Wandle Valley,Sutton - Wandle Valley,11630.0,79.3,77.3,84.6,24.067067927773,9.0,24.8,19.8,5.7,Sutton,"11630, Sutton",00BFGU,33.6,6.6,23.7,1.0,69.2,40.5,00BF
196,Highgate,Haringey - Highgate,11632.0,50.0,79.5,85.4,15.362792297111401,11.7,18.9,31.5,8.2,Haringey,"11632, Haringey",00APGG,11.1,3.3,6.4,0.8,77.9,42.4,00AP
197,Highbury East,Islington - Highbury East,11634.0,64.2,76.7,80.5,17.0190820010315,9.7,23.5,30.9,9.3,Islington,"11634, Islington",00AUGD,31.1,4.7,13.4,0.5,96.6,21.6,00AU
198,Edgware,Harrow - Edgware,11653.0,91.0,79.6,83.9,20.2866214708659,11.4,65.3,56.5,24.8,Harrow,"11653, Harrow",00AQGA,10.3,4.3,22.5,1.1,63.9,15.0,00AQ
199,Worcester Park,Sutton - Worcester Park,11655.0,83.0,81.1,83.7,20.7893607893608,13.4,20.0,21.5,6.1,Sutton,"11655, Sutton",00BFGW,6.4,2.4,17.2,1.2,42.3,22.3,00BF
200,Bridge,Redbridge - Bridge,11658.0,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7,Redbridge,"11658, Redbridge",00BCGA,13.8,4.5,19.9,1.1,62.8,36.0,00BC
201,Cavendish,Hillingdon - Cavendish,11658.0,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,Hillingdon,"11658, Hillingdon",00ASGK,7.3,2.4,17.2,1.4,43.1,17.7,00AS
202,Roxeth,Harrow - Roxeth,11663.0,69.2,81.6,82.6,22.841464460258898,11.0,66.3,48.4,19.8,Harrow,"11663, Harrow",00AQGR,9.5,5.2,17.3,1.2,64.1,18.4,00AQ
203,Selsdon and Ballards,Croydon - Selsdon and Ballards,11719.0,51.8,84.5,89.4,16.0679238842905,18.9,19.7,15.7,2.2,Croydon,"11719, Croydon",00AHGX,2.0,2.7,15.2,1.5,39.6,55.2,00AH
204,Wick,Hackney - Wick,11734.0,53.4,74.9,82.7,22.3197545594,7.9,51.6,35.1,10.9,Hackney,"11734, Hackney",00AMGU,53.8,12.2,22.8,0.5,95.9,29.5,00AM
205,Fortune Green,Camden - Fortune Green,11740.0,52.6,80.7,84.8,15.0425894378194,9.7,29.0,43.4,16.1,Camden,"11740, Camden",00AGGH,16.7,5.0,9.2,0.6,80.4,18.0,00AG
206,Stroud Green,Haringey - Stroud Green,11758.0,40.0,77.0,89.9,16.2782786188127,6.9,25.9,31.3,9.0,Haringey,"11758, Haringey",00APGP,22.9,5.5,10.1,0.6,69.9,24.6,00AP
207,Church Street,Westminster - Church Street,11760.0,54.3,73.4,76.4,23.163265306122398,11.4,61.7,52.7,27.2,Westminster,"11760, Westminster",00BKGE,55.8,12.4,28.1,0.3,111.0,7.6,00BK
208,Hillrise,Islington - Hillrise,11794.0,56.8,74.9,80.6,19.2470747837884,9.0,33.7,32.9,10.4,Islington,"11794, Islington",00AUGF,45.3,7.6,17.9,0.5,69.3,18.3,00AU
209,Alexandra,Haringey - Alexandra,11795.0,65.8,79.2,83.5,21.610852055955895,9.9,20.5,26.8,8.5,Haringey,"11795, Haringey",00APGA,9.0,3.4,8.0,1.0,101.8,52.3,00AP
210,College,Southwark - College,11812.0,69.5,75.8,81.6,20.4029800203183,11.7,36.6,30.7,5.3,Southwark,"11812, Southwark",00BEGG,27.2,5.8,13.6,0.8,92.9,43.7,00BE
211,St. Peter's,Islington - St. Peter's,11822.0,62.3,76.7,80.1,14.819827440365401,9.8,25.6,32.0,9.5,Islington,"11822, Islington",00AUGM,40.4,5.9,17.3,0.4,149.9,10.4,00AU
212,King's Cross,Camden - King's Cross,11843.0,34.1,76.9,81.5,14.506459511947998,7.2,49.2,50.9,22.4,Camden,"11843, Camden",00AGGS,46.1,7.5,12.1,0.2,164.3,13.5,00AG
213,Snaresbrook,Redbridge - Snaresbrook,11865.0,68.8,77.9,84.8,15.4150863885377,17.6,30.2,27.2,6.5,Redbridge,"11865, Redbridge",00BCGS,11.8,2.8,14.9,1.0,67.8,10.6,00BC
214,Belvedere,Bexley - Belvedere,11890.0,78.6,77.9,82.5,22.354920100925103,12.7,28.4,20.4,5.1,Bexley,"11890, Bexley",00ADGB,16.1,6.1,23.7,1.0,67.6,33.2,00AD
215,Hammersmith Broadway,Hammersmith and Fulham - Hammersmith Broadway,11923.0,43.4,74.0,81.9,15.9607481338589,10.1,33.9,40.5,13.4,Hammersmith and Fulham,"11923, Hammersmith and Fulham",00ANGG,39.9,5.5,15.0,0.5,230.4,9.4,00AN
216,Cantelowes,Camden - Cantelowes,11925.0,46.0,77.2,82.5,16.1844863731656,9.1,31.9,35.9,12.6,Camden,"11925, Camden",00AGGG,40.3,6.2,13.9,0.4,110.4,7.4,00AG
217,St. Helier,Sutton - St. Helier,11949.0,86.2,75.8,81.1,24.1693865595447,10.6,25.5,22.6,8.1,Sutton,"11949, Sutton",00BFGK,40.5,7.5,27.3,1.0,75.5,26.0,00BF
218,Isleworth,Hounslow - Isleworth,11977.0,89.7,74.9,82.9,21.3242047257243,9.8,34.8,33.8,11.7,Hounslow,"11977, Hounslow",00ATGQ,34.1,4.9,19.9,0.9,83.3,22.6,00AT
219,Emerson Park,Havering - Emerson Park,11977.0,52.2,78.7,81.3,16.3062536528346,21.3,17.7,11.4,1.7,Havering,"11977, Havering",00ARGF,3.9,2.5,23.1,1.6,46.7,31.2,00AR
220,Queensbury,Harrow - Queensbury,11984.0,68.8,77.7,85.2,21.1949265687583,11.6,75.0,57.5,26.2,Harrow,"11984, Harrow",00AQGN,3.9,3.2,20.8,1.2,55.4,23.3,00AQ
221,Frognal and Fitzjohns,Camden - Frognal and Fitzjohns,11986.0,55.6,80.0,85.6,17.912564658768602,14.0,25.8,48.5,14.6,Camden,"11986, Camden",00AGGJ,7.1,1.9,6.1,0.8,65.2,5.7,00AG
222,Bryanston and Dorset Square,Westminster - Bryanston and Dorset Square,11991.0,56.0,85.6,88.7,10.6329747310483,10.6,37.2,61.3,28.8,Westminster,"11991, Westminster",00BKGC,7.8,3.3,8.2,0.4,255.3,2.1,00BK
223,Junction,Islington - Junction,12025.0,40.0,77.0,83.3,15.3929313929314,10.7,30.6,34.7,11.5,Islington,"12025, Islington",00AUGH,43.3,6.9,16.8,0.4,99.9,16.6,00AU
224,Harrow Road,Westminster - Harrow Road,12034.0,77.5,77.1,92.1,18.8964600299152,8.5,49.0,48.2,17.9,Westminster,"12034, Westminster",00BKGF,43.4,10.4,18.4,0.4,95.3,3.0,00BK
225,Kilburn,Camden - Kilburn,12038.0,59.4,72.0,78.9,17.311845821565,11.2,40.1,47.9,18.7,Camden,"12038, Camden",00AGGR,42.1,8.0,17.4,0.4,135.2,13.4,00AG
226,Roding,Redbridge - Roding,12044.0,68.0,80.3,83.8,22.7499169711059,10.3,37.2,28.2,8.7,Redbridge,"12044, Redbridge",00BCGQ,15.9,5.0,15.9,1.1,69.1,35.7,00BC
227,Uxbridge North,Hillingdon - Uxbridge North,12048.0,63.1,77.2,83.0,17.886786188579,15.9,30.2,23.4,5.9,Hillingdon,"12048, Hillingdon",00ASGZ,12.7,2.9,16.8,1.3,106.1,34.5,00AS
228,Erith,Bexley - Erith,12053.0,106.7,78.3,82.8,23.637268729776803,11.7,31.4,23.1,5.6,Bexley,"12053, Bexley",00ADGM,20.2,6.6,23.6,1.0,86.0,44.6,00AD
229,West Hampstead,Camden - West Hampstead,12060.0,55.6,77.9,83.0,12.545605306799299,8.4,30.5,43.3,13.9,Camden,"12060, Camden",00AGGX,22.2,4.6,9.5,0.5,97.6,8.8,00AG
230,Regent's Park,Westminster - Regent's Park,12067.0,54.1,80.9,83.5,15.2979199469628,16.3,43.7,59.9,23.7,Westminster,"12067, Westminster",00BKGP,19.1,2.2,13.0,0.6,76.4,62.2,00BK
231,Canonbury,Islington - Canonbury,12072.0,50.0,74.7,84.1,17.3376408217363,9.7,28.2,29.7,9.1,Islington,"12072, Islington",00AUGA,47.2,6.8,19.2,0.4,103.9,14.4,00AU
232,Thamesmead East,Bexley - Thamesmead East,12094.0,117.0,77.9,83.8,27.1622292045642,6.8,52.7,38.1,7.6,Bexley,"12094, Bexley",00ADGX,38.4,9.7,20.8,0.8,68.5,70.5,00AD
233,Kenton,Brent - Kenton,12133.0,57.9,83.7,86.2,16.7229868952444,17.2,70.0,53.9,19.6,Brent,"12133, Brent",00AEGS,5.6,2.6,17.3,1.4,59.7,17.0,00AE
234,Eastcote and East Ruislip,Hillingdon - Eastcote and East Ruislip,12142.0,54.3,80.5,87.4,17.7812551474222,20.0,20.2,17.5,3.7,Hillingdon,"12142, Hillingdon",00ASGM,7.2,2.0,13.6,1.5,52.5,33.4,00AS
235,Hanworth,Hounslow - Hanworth,12155.0,85.0,77.5,87.1,24.2040312628548,11.0,32.4,28.9,11.3,Hounslow,"12155, Hounslow",00ATGF,38.6,6.7,26.4,1.0,84.9,45.3,00AT
236,Shepherd's Bush Green,Hammersmith and Fulham - Shepherd's Bush Green,12175.0,52.6,72.7,85.4,14.792607802874699,7.6,40.1,47.2,16.4,Hammersmith and Fulham,"12175, Hammersmith and Fulham",00ANGP,37.9,8.2,13.9,0.4,349.3,9.7,00AN
237,Heathrow Villages,Hillingdon - Heathrow Villages,12199.0,86.9,75.8,82.8,20.8213788015411,9.4,50.0,43.2,17.1,Hillingdon,"12199, Hillingdon",00ASGP,14.8,3.7,19.2,1.1,308.0,31.4,00AS
238,Barnsbury,Islington - Barnsbury,12201.0,45.1,75.0,79.5,14.884025899516402,9.4,28.9,35.5,10.9,Islington,"12201, Islington",00AUFX,38.5,5.0,16.3,0.5,150.3,11.0,00AU
